Club|Last Name|First Name|Pos|Base Salary|Compensation
CLB|Lampson|Matt|GK|60000|60000
CHI|Larentowicz|Jeff|D|265000|271000
ORL|Larin|Cyle|F|125000|167000
NY|Lawrence|Kemar|D|60000|60000
PHI|Le Toux|Sebastien|M|275000|285228.13
MTL|Lefevre|Wandrille|M|60000|60000
SJ|Lenhart|Steven|F|150000|159083.33
CLB|Lev-Ari|Sagi|F|60000|60000
VAN|Lewis|Andre|M|60000|75000
HOU|Lisch|Michael|GK|60000|60000
LA|Lletget|Sebastian|M|95000.04|100500.04
|Lochhead|Tony|D|134375|134375
HOU|Lopez|Alexander|M|115500|135500
KC|Lopez|Mikey|M|100000|172000
HOU|Lovejoy|Rob|M|50000|50000
TOR|Lovitz|Daniel|M|60000|60000
SEA|Lowe|Damion|D|60375|71375
DAL|Loyd|Zach|M|175000|196666.67
SEA|Lyon|Charlie|GK|50000|50000
CLB|Mabwati|Cedrick|M|201428.52|220178.52
COL|MacMath|Zac|GK|130000|130000
LA|Maganto|Ignacio|M|60000|60000
CHI|Magee|Mike|F|400000|467500
PHI|Maidana|Cristian|F|203500|217250
MTL|Mallace|Calum|M|60000|75000
VAN|Manneh|Kekuta|F|82500|112000
TOR|Mannella|Chris|M|60000|60000
POR|Manning|Anthony|D|50000.04|50000.04
HOU|Manotas|Mauro|F|60000|60000
RSL|Mansally|Kenny|F|60000|66500
SEA|Mansaray|Victor|F|50000|53500
MTL|Mapp|Justin|M|186725|199225
PHI|Marquez|Richard|D|60000|60000
SEA|Marshall|Chad|D|275000|291666.67
DC|Martin|Collin|M|70000|84166.67
RSL|Martinez|Juan Manuel|F|710000|1108666.67
NY|Martins|Felipe|M|175000|207500
SEA|Martins|Obafemi|F|2400000|3000000
ORL|Mateos|David|D|300000|325000
VAN|Mattocks|Darren|F|180000|272000
RSL|Maund|Aaron|D|60000|63449.5
PHI|McCarthy|John|GK|60000|66250
NY|McCarty|Dax|M|220000|262500
CLB|McInerney|Jack|F|270000|334166.67
VAN|McKendry|Ben|M|50000|50000
PHI|McLaughlin|James|M|60000|60000
